Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,NRxRSRP,NRxRSRQ,ServingCell_Lon,ServingCell_Lat,ServingCell_Distance
2018.01.25_17.27.30,-8.473233,51.898205,2,A,1,LTE,-95,-13,1.0,7,-81,0,0,D,-,-,-8.472275,51.895123,348.94999999999999
2018.01.25_17.27.30,-8.473233,51.898205,2,A,1,LTE,-95,-13,5.0,7,-81,11,0,D,-,-,-8.472275,51.895123,348.94999999999999
2018.01.25_17.27.31,-8.473518,51.898446,0,A,1,LTE,-95,-13,5.0,7,-81,11,0,D,-,-,-8.472275,51.895123,379.22000000000003
2018.01.25_17.27.31,-8.473518,51.898446,0,A,1,LTE,-95,-13,4.0,8,-78,0,0,I,-,-,-8.472275,51.895123,379.22000000000003
2018.01.25_17.27.32,-8.473518,51.898446,0,A,1,LTE,-95,-13,4.0,8,-78,4988,187,D,-,-,-8.472275,51.895123,379.22000000000003
2018.01.25_17.27.33,-8.473518,51.898446,0,A,1,LTE,-96,-12,4.0,8,-78,23363,436,D,-,-,-8.472275,51.895123,379.22000000000003
2018.01.25_17.27.35,-8.473518,51.898446,0,A,1,LTE,-96,-12,4.0,9,-,17670,335,D,-,-,-8.472275,51.895123,379.22000000000003
2018.01.25_17.27.36,-8.473518,51.898446,0,A,1,LTE,-95,-13,3.0,10,-,17077,317,D,-101.0,-20.0,-8.472275,51.895123,379.22000000000003
2018.01.25_17.27.37,-8.473518,51.898446,0,A,1,LTE,-95,-13,3.0,9,-83,23789,460,D,-101.0,-20.0,-8.472275,51.895123,379.22000000000003
2018.01.25_17.27.38,-8.473518,51.898446,0,A,1,LTE,-95,-14,2.0,9,-78,13182,253,D,-102.0,-20.0,-8.472275,51.895123,379.22000000000003
2018.01.25_17.27.39,-8.473518,51.898446,0,A,1,LTE,-95,-14,2.0,10,-76,11904,239,D,-102.0,-20.0,-8.472275,51.895123,379.22000000000003
2018.01.25_17.27.40,-8.473518,51.898446,0,A,1,LTE,-93,-14,2.0,10,-76,20785,386,D,-107.0,-19.0,-8.472275,51.895123,379.22000000000003
2018.01.25_17.27.41,-8.473518,51.898446,0,A,1,LTE,-93,-14,2.0,10,-76,8392,306,D,-107.0,-19.0,-8.472275,51.895123,379.22000000000003
2018.01.25_17.27.42,-8.473518,51.898446,0,A,1,LTE,-93,-14,1.0,8,-78,9505,214,D,-,-,-8.472275,51.895123,379.22000000000003
2018.01.25_17.27.43,-8.473518,51.898446,0,A,1,LTE,-93,-14,1.0,8,-78,11575,211,D,-,-,-8.472275,51.895123,379.22000000000003
2018.01.25_17.27.44,-8.473518,51.898446,0,A,1,LTE,-94,-13,0.0,8,-78,12212,231,D,-101.0,-20.0,-8.472275,51.895123,379.22000000000003
2018.01.25_17.27.45,-8.473518,51.898446,0,A,1,LTE,-94,-13,0.0,8,-78,10345,191,D,-101.0,-20.0,-8.472275,51.895123,379.22000000000003
2018.01.25_17.27.46,-8.473518,51.898446,0,A,1,LTE,-95,-14,1.0,8,-78,14818,275,D,-,-,-8.472275,51.895123,379.22000000000003
2018.01.25_17.27.47,-8.473518,51.898446,0,A,1,LTE,-95,-14,1.0,8,-78,10054,187,D,-,-,-8.472275,51.895123,379.22000000000003
2018.01.25_17.27.48,-8.473518,51.898446,0,A,1,LTE,-95,-13,0.0,8,-78,5379,99,D,-,-,-8.472275,51.895123,379.22000000000003
2018.01.25_17.27.49,-8.473518,51.898446,0,A,1,LTE,-95,-13,0.0,8,-78,9215,167,D,-,-,-8.472275,51.895123,379.22000000000003
2018.01.25_17.27.50,-8.473518,51.898446,0,A,1,LTE,-95,-15,0.0,8,-78,10199,190,D,-,-,-8.472275,51.895123,379.22000000000003
2018.01.25_17.27.51,-8.473518,51.898446,0,A,1,LTE,-95,-15,0.0,8,-78,8891,338,D,-,-,-8.472275,51.895123,379.22000000000003
2018.01.25_17.27.52,-8.473518,51.898446,0,A,1,LTE,-94,-14,1.0,8,-78,17670,301,D,-103.0,-14.0,-8.472275,51.895123,379.22000000000003
2018.01.25_17.27.54,-8.473518,51.898446,0,A,1,LTE,-94,-14,1.0,8,-76,8634,158,D,-103.0,-14.0,-8.472275,51.895123,379.22000000000003
2018.01.25_17.27.55,-8.473518,51.898446,0,A,1,LTE,-93,-14,0.0,8,-80,4775,217,D,-,-,-8.472275,51.895123,379.22000000000003
2018.01.25_17.27.56,-8.473518,51.898446,0,A,1,LTE,-93,-14,0.0,8,-74,9539,190,D,-,-,-8.472275,51.895123,379.22000000000003
2018.01.25_17.27.57,-8.473518,51.898446,0,A,1,LTE,-91,-14,0.0,8,-76,20612,507,D,-,-,-8.472275,51.895123,379.22000000000003
