Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,NRxRSRP,NRxRSRQ,ServingCell_Lon,ServingCell_Lat,ServingCell_Distance
2018.01.27_10.58.49,-8.505954,51.892184,28,B,2,LTE,-80,-11,14.0,11,-,68557,1026,D,-,-,-8.505768,51.894461,253.50999999999999
2018.01.27_10.58.49,-8.505539,51.89257,28,B,2,LTE,-80,-11,14.0,11,-,68557,1026,D,-,-,-8.505768,51.894461,210.86000000000001
2018.01.27_10.58.50,-8.505539,51.89257,28,B,2,LTE,-80,-11,14.0,12,-68,63379,972,D,-,-,-8.505768,51.894461,210.86000000000001
2018.01.27_10.58.51,-8.505539,51.89257,28,B,2,LTE,-85,-11,18.0,11,-71,54253,956,D,-,-,-8.505768,51.894461,210.86000000000001
2018.01.27_10.58.52,-8.505539,51.89257,28,B,2,LTE,-85,-11,18.0,12,-68,46905,756,D,-,-,-8.505768,51.894461,210.86000000000001
2018.01.27_10.58.53,-8.505539,51.89257,28,B,2,LTE,-85,-11,16.0,10,-63,52184,908,D,-84.0,-17.0,-8.505768,51.894461,210.86000000000001
2018.01.27_10.58.54,-8.505539,51.89257,28,B,2,LTE,-85,-11,16.0,12,-59,57262,828,D,-84.0,-17.0,-8.505768,51.894461,210.86000000000001
2018.01.27_10.58.55,-8.505539,51.89257,28,B,2,LTE,-77,-12,16.0,12,-59,53862,894,D,-,-,-8.505768,51.894461,210.86000000000001
2018.01.27_10.58.56,-8.505539,51.89257,28,B,2,LTE,-77,-12,16.0,10,-63,57407,1265,D,-,-,-8.505768,51.894461,210.86000000000001
2018.01.27_10.58.57,-8.505539,51.89257,28,B,2,LTE,-82,-11,17.0,12,-65,36280,557,D,-85.0,-13.0,-8.505768,51.894461,210.86000000000001
2018.01.27_10.58.58,-8.505539,51.89257,28,B,2,LTE,-82,-11,17.0,9,-70,43830,629,D,-85.0,-13.0,-8.505768,51.894461,210.86000000000001
2018.01.27_10.58.59,-8.505539,51.89257,28,B,2,LTE,-87,-12,15.0,9,-68,42890,689,D,-87.0,-14.0,-8.505768,51.894461,210.86000000000001
2018.01.27_10.59.00,-8.505539,51.89257,28,B,2,LTE,-87,-12,15.0,11,-76,35106,552,D,-87.0,-14.0,-8.505768,51.894461,210.86000000000001
2018.01.27_10.59.02,-8.505539,51.89257,28,B,2,LTE,-93,-13,13.0,10,-78,46391,638,D,-94.0,-15.0,-8.505768,51.894461,210.86000000000001
2018.01.27_10.59.03,-8.505539,51.89257,28,B,2,LTE,-93,-13,13.0,10,-78,31762,535,D,-94.0,-15.0,-8.505768,51.894461,210.86000000000001
2018.01.27_10.59.04,-8.505539,51.89257,28,B,2,LTE,-94,-12,11.0,12,-80,42130,644,D,-,-,-8.505768,51.894461,210.86000000000001
2018.01.27_10.59.05,-8.505539,51.89257,28,B,2,LTE,-94,-12,11.0,12,-80,31661,466,D,-,-,-8.505768,51.894461,210.86000000000001
2018.01.27_10.59.06,-8.505539,51.89257,28,B,2,LTE,-92,-14,6.0,9,-75,31986,546,D,-100.0,-15.0,-8.505768,51.894461,210.86000000000001
2018.01.27_10.59.07,-8.505539,51.89257,28,B,2,LTE,-92,-14,6.0,8,-,20634,365,D,-100.0,-15.0,-8.505768,51.894461,210.86000000000001
2018.01.27_10.59.08,-8.505539,51.89257,28,B,2,LTE,-91,-13,6.0,9,-74,22614,286,D,-93.0,-15.0,-8.505768,51.894461,210.86000000000001
2018.01.27_10.59.09,-8.505539,51.89257,28,B,2,LTE,-91,-13,6.0,9,-70,39982,614,D,-93.0,-15.0,-8.505768,51.894461,210.86000000000001
2018.01.27_10.59.10,-8.505539,51.89257,28,B,2,LTE,-87,-12,10.0,7,-75,34226,585,D,-95.0,-14.0,-8.505768,51.894461,210.86000000000001
2018.01.27_10.59.11,-8.505539,51.89257,28,B,2,LTE,-87,-12,10.0,6,-,18465,271,D,-95.0,-14.0,-8.505768,51.894461,210.86000000000001
2018.01.27_10.59.13,-8.505539,51.89257,28,B,1,LTE,-97,-14,7.0,8,-80,16686,312,D,-95.0,-14.0,-8.497745,51.896847,715.69000000000005
2018.01.27_10.59.14,-8.505539,51.89257,28,B,1,LTE,-97,-14,7.0,6,-83,9841,132,D,-93.0,-10.0,-8.497745,51.896847,715.69000000000005
2018.01.27_10.59.15,-8.505539,51.89257,28,B,3,LTE,-100,-12,6.0,6,-83,26517,352,D,-93.0,-10.0,-8.499074,51.887362,729.51999999999998
