Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,NRxRSRP,NRxRSRQ,ServingCell_Lon,ServingCell_Lat,ServingCell_Distance
2017.12.07_15.39.55,-8.388447,51.935625,1,A,1,LTE,-108,-12,5,8,-91,33596,674,D,-102,-9,-8.389391,51.928956,744.38
2017.12.07_15.39.56,-8.388447,51.935625,1,A,1,LTE,-108,-12,5,10,-,30845,561,D,-102,-9,-8.389391,51.928956,744.38
2017.12.07_15.39.57,-8.388447,51.935625,1,A,1,LTE,-98,-11,7,7,-85,30678,561,D,-103,-10,-8.389391,51.928956,744.38
2017.12.07_15.39.58,-8.388447,51.935625,1,A,1,LTE,-98,-11,7,9,-87,24660,442,D,-103,-10,-8.389391,51.928956,744.38
2017.12.07_15.39.59,-8.388447,51.935625,1,A,1,LTE,-104,-9,11,7,-93,29111,530,D,-104,-10,-8.389391,51.928956,744.38
2017.12.07_15.40.00,-8.388447,51.935625,1,A,1,LTE,-104,-9,11,7,-93,23027,405,D,-104,-10,-8.389391,51.928956,744.38
2017.12.07_15.40.01,-8.388447,51.935625,1,A,1,LTE,-109,-13,4,6,-89,26315,502,D,-102,-10,-8.389391,51.928956,744.38
2017.12.07_15.40.03,-8.388447,51.935625,1,A,1,LTE,-109,-13,4,6,-89,22189,407,D,-102,-10,-8.389391,51.928956,744.38
2017.12.07_15.40.04,-8.388447,51.935625,1,A,1,LTE,-105,-13,4,6,-89,24302,446,D,-102,-11,-8.389391,51.928956,744.38
2017.12.07_15.40.05,-8.388447,51.935625,1,A,1,LTE,-105,-13,4,6,-89,27378,509,D,-102,-11,-8.389391,51.928956,744.38
2017.12.07_15.40.06,-8.388447,51.935625,1,A,1,LTE,-105,-11,5,6,-89,28977,527,D,-102,-11,-8.389391,51.928956,744.38
2017.12.07_15.40.07,-8.388447,51.935625,1,A,1,LTE,-105,-11,5,6,-89,29514,542,D,-102,-11,-8.389391,51.928956,744.38
2017.12.07_15.40.08,-8.388447,51.935625,1,A,1,LTE,-105,-8,6,6,-89,29917,534,D,-102,-11,-8.389391,51.928956,744.38
2017.12.07_15.40.09,-8.388447,51.935625,1,A,1,LTE,-105,-8,6,6,-89,31605,569,D,-102,-11,-8.389391,51.928956,744.38
2017.12.07_15.40.10,-8.388447,51.935625,1,A,1,LTE,-106,-8,8,6,-89,26774,582,D,-102,-12,-8.389391,51.928956,744.38
2017.12.07_15.40.11,-8.388447,51.935625,1,A,1,LTE,-106,-8,8,6,-89,18162,331,D,-102,-12,-8.389391,51.928956,744.38
2017.12.07_15.40.12,-8.388447,51.935625,1,A,1,LTE,-106,-11,6,8,-87,20086,356,D,-99,-11,-8.389391,51.928956,744.38
2017.12.07_15.40.14,-8.388447,51.935625,1,A,1,LTE,-106,-11,6,8,-87,19572,342,D,-99,-11,-8.389391,51.928956,744.38
2017.12.07_15.40.15,-8.388447,51.935625,1,A,1,LTE,-107,-9,6,8,-90,21160,385,D,-101,-11,-8.389391,51.928956,744.38
2017.12.07_15.40.16,-8.388447,51.935625,1,A,1,LTE,-107,-9,6,8,-90,20388,371,D,-101,-11,-8.389391,51.928956,744.38
2017.12.07_15.40.17,-8.388447,51.935625,1,A,1,LTE,-105,-11,6,9,-93,20008,354,D,-103,-10,-8.389391,51.928956,744.38
2017.12.07_15.40.18,-8.388447,51.935625,1,A,1,LTE,-105,-11,5,7,-88,24671,429,D,-103,-10,-8.389391,51.928956,744.38
2017.12.07_15.40.19,-8.388447,51.935625,1,A,1,LTE,-105,-12,8,7,-90,22983,373,D,-102,-11,-8.389391,51.928956,744.38
2017.12.07_15.40.20,-8.388447,51.935625,1,A,1,LTE,-105,-12,8,7,-90,22725,456,D,-102,-11,-8.389391,51.928956,744.38
2017.12.07_15.40.21,-8.388447,51.935625,1,A,1,LTE,-107,-10,4,7,-90,9394,219,D,-103,-13,-8.389391,51.928956,744.38
2017.12.07_15.40.22,-8.388447,51.935625,1,A,1,LTE,-107,-10,4,8,-,7974,184,D,-103,-13,-8.389391,51.928956,744.38
2017.12.07_15.40.24,-8.388447,51.935625,1,A,1,LTE,-109,-13,6,7,-89,12145,276,D,-101,-6,-8.389391,51.928956,744.38
2017.12.07_15.40.25,-8.388447,51.935625,1,A,1,LTE,-109,-13,6,9,-91,11288,211,D,-101,-6,-8.389391,51.928956,744.38
2017.12.07_15.40.26,-8.388447,51.935625,1,A,1,LTE,-111,-14,2,8,-94,11866,219,D,-100,-8,-8.389391,51.928956,744.38
2017.12.07_15.40.27,-8.388447,51.935625,1,A,1,LTE,-111,-14,2,9,-88,12179,225,D,-100,-8,-8.389391,51.928956,744.38
2017.12.07_15.40.28,-8.388447,51.935625,1,A,1,LTE,-106,-10,4,10,-91,17648,320,D,-103,-10,-8.389391,51.928956,744.38
2017.12.07_15.40.29,-8.388447,51.935625,1,A,1,LTE,-106,-10,4,10,-91,16429,297,D,-103,-10,-8.389391,51.928956,744.38
2017.12.07_15.40.30,-8.388447,51.935625,1,A,1,LTE,-109,-14,6,8,-88,16731,307,D,-100,-7,-8.389391,51.928956,744.38
2017.12.07_15.40.31,-8.388447,51.935625,1,A,1,LTE,-109,-14,6,11,-84,17689,341,D,-100,-7,-8.389391,51.928956,744.38
2017.12.07_15.40.33,-8.388447,51.935625,1,A,1,LTE,-101,-9,6,7,-,23173,478,D,-101,-7,-8.389391,51.928956,744.38
2017.12.07_15.40.34,-8.388447,51.935625,1,A,1,LTE,-101,-9,6,8,-88,27378,503,D,-101,-7,-8.389391,51.928956,744.38
2017.12.07_15.40.35,-8.388447,51.935625,1,A,1,LTE,-109,-12,5,9,-92,21238,357,D,-98,-11,-8.389391,51.928956,744.38
2017.12.07_15.40.36,-8.388447,51.935625,1,A,1,LTE,-109,-12,5,7,-94,30375,610,D,-98,-11,-8.389391,51.928956,744.38
2017.12.07_15.40.37,-8.388447,51.935625,1,A,1,LTE,-108,-11,5,6,-88,24527,450,D,-101,-10,-8.389391,51.928956,744.38
2017.12.07_15.40.38,-8.388447,51.935625,1,A,1,LTE,-108,-11,2,8,-94,21406,395,D,-101,-10,-8.389391,51.928956,744.38
2017.12.07_15.40.39,-8.388447,51.935625,1,A,1,LTE,-111,-13,5,8,-94,11588,213,D,-99,-9,-8.389391,51.928956,744.38
2017.12.07_15.40.40,-8.388447,51.935625,1,A,1,LTE,-111,-13,5,7,-92,19907,378,D,-99,-9,-8.389391,51.928956,744.38
2017.12.07_15.40.41,-8.388447,51.935625,1,A,1,LTE,-109,-14,1,8,-87,25924,472,D,-95,-12,-8.389391,51.928956,744.38
2017.12.07_15.40.42,-8.388447,51.935625,1,A,1,LTE,-109,-14,1,7,-92,19114,354,D,-95,-12,-8.389391,51.928956,744.38
2017.12.07_15.40.44,-8.388447,51.935625,1,A,1,LTE,-109,-13,4,7,-92,18398,341,D,-93,-7,-8.389391,51.928956,744.38
2017.12.07_15.40.45,-8.388447,51.935625,1,A,1,LTE,-109,-13,4,7,-92,12358,278,D,-93,-7,-8.389391,51.928956,744.38
2017.12.07_15.40.46,-8.388447,51.935625,1,A,1,LTE,-110,-13,1,7,-92,18006,328,D,-91,-7,-8.389391,51.928956,744.38
2017.12.07_15.40.47,-8.388447,51.935625,1,A,1,LTE,-110,-13,1,7,-92,10524,169,D,-91,-7,-8.389391,51.928956,744.38
2017.12.07_15.40.48,-8.388447,51.935625,1,A,1,LTE,-109,-16,-2,7,-92,9875,182,D,-91,-6,-8.389391,51.928956,744.38
2017.12.07_15.40.49,-8.388447,51.935625,1,A,1,LTE,-109,-16,-2,2,-86,13577,295,D,-91,-6,-8.389391,51.928956,744.38
2017.12.07_15.40.50,-8.388447,51.935625,1,A,1,LTE,-103,-12,-1,2,-86,26204,475,D,-91,-6,-8.384241,51.928244,869.92
2017.12.07_15.40.52,-8.388447,51.935625,1,A,1,LTE,-103,-12,-1,8,-,19359,385,D,-107,-16,-8.384241,51.928244,869.92
2017.12.07_15.40.53,-8.388447,51.935625,1,A,1,LTE,-100,-14,1,8,-,20110,399,D,-99,-14,-8.384241,51.928244,869.92
2017.12.07_15.40.54,-8.388447,51.935625,1,A,1,LTE,-100,-14,1,2,-83,12635,312,D,-99,-14,-8.384241,51.928244,869.92
2017.12.07_15.40.55,-8.388447,51.935625,1,A,1,LTE,-101,-12,3,2,-83,4976,96,D,-99,-14,-8.389391,51.928956,744.38
2017.12.07_15.40.56,-8.388447,51.935625,1,A,1,LTE,-101,-12,3,2,-83,10334,197,D,-83,-7,-8.389391,51.928956,744.38
2017.12.07_15.40.57,-8.388447,51.935625,1,A,1,LTE,-94,-12,-3,2,-77,4865,91,D,-83,-7,-8.384241,51.928244,869.92
2017.12.07_15.40.58,-8.388447,51.935625,1,A,1,LTE,-94,-12,-3,2,-74,8197,172,D,-88,-9,-8.384241,51.928244,869.92
2017.12.07_15.40.59,-8.388447,51.935625,1,A,1,LTE,-91,-7,1,2,-74,6240,136,D,-88,-9,-8.389391,51.928956,744.38
2017.12.07_15.41.01,-8.388447,51.935625,1,A,1,LTE,-91,-7,1,12,-,7895,142,D,-89,-6,-8.389391,51.928956,744.38
2017.12.07_15.41.02,-8.388447,51.935625,1,A,1,LTE,-89,-10,3,7,-,9752,179,D,-88,-7,-8.389391,51.928956,744.38
2017.12.07_15.41.03,-8.388447,51.935625,1,A,1,LTE,-89,-10,3,7,-,8399,156,D,-88,-7,-8.389391,51.928956,744.38
2017.12.07_15.41.04,-8.388447,51.935625,1,A,1,LTE,-88,-10,3,7,-,14975,276,D,-83,-7,-8.389391,51.928956,744.38
2017.12.07_15.41.05,-8.388447,51.935625,1,A,1,LTE,-88,-10,3,7,-77,7694,121,D,-83,-7,-8.389391,51.928956,744.38
2017.12.07_15.41.06,-8.388447,51.935625,1,A,1,LTE,-95,-12,-5,7,-77,14450,291,D,-83,-7,-8.384241,51.928244,869.92
2017.12.07_15.41.07,-8.388447,51.935625,1,A,1,LTE,-95,-12,7,10,-81,14069,287,D,-,-,-8.384241,51.928244,869.92
2017.12.07_15.41.09,-8.388447,51.935625,1,A,1,LTE,-98,-12,7,10,-81,13968,257,D,-102,-16,-8.384241,51.928244,869.92
2017.12.07_15.41.10,-8.388447,51.935625,1,A,1,LTE,-98,-12,7,10,-78,15266,275,D,-102,-16,-8.384241,51.928244,869.92
2017.12.07_15.41.11,-8.388447,51.935625,1,A,1,LTE,-99,-10,14,8,-82,15064,267,D,-,-,-8.384241,51.928244,869.92
2017.12.07_15.41.12,-8.388447,51.935625,1,A,1,LTE,-99,-10,14,9,-78,17379,317,D,-,-,-8.384241,51.928244,869.92
2017.12.07_15.41.13,-8.388447,51.935625,1,A,1,LTE,-95,-10,12,8,-,17480,320,D,-,-,-8.384241,51.928244,869.92
2017.12.07_15.41.14,-8.388447,51.935625,1,A,1,LTE,-95,-10,12,9,-,17637,326,D,-,-,-8.384241,51.928244,869.92
2017.12.07_15.41.15,-8.388447,51.935625,1,A,1,LTE,-94,-9,10,9,-,14953,346,D,-,-,-8.384241,51.928244,869.92
2017.12.07_15.41.16,-8.388447,51.935625,1,A,1,LTE,-94,-9,10,10,-81,8933,226,D,-,-,-8.384241,51.928244,869.92
2017.12.07_15.41.18,-8.388447,51.935625,1,A,1,LTE,-98,-9,10,10,-81,8589,177,D,-,-,-8.384241,51.928244,869.92
2017.12.07_15.41.19,-8.388447,51.935625,1,A,1,LTE,-98,-9,10,10,-77,9305,170,D,-,-,-8.384241,51.928244,869.92
2017.12.07_15.41.20,-8.388447,51.935625,1,A,1,LTE,-94,-12,15,10,-,8477,175,D,-,-,-8.384241,51.928244,869.92
2017.12.07_15.41.21,-8.388447,51.935625,1,A,1,LTE,-94,-12,15,9,-,9562,173,D,-,-,-8.384241,51.928244,869.92
2017.12.07_15.41.22,-8.388447,51.935625,1,A,1,LTE,-97,-13,11,9,-,9718,178,D,-,-,-8.384241,51.928244,869.92
2017.12.07_15.41.23,-8.388447,51.935625,1,A,1,LTE,-97,-13,11,9,-,10490,196,D,-,-,-8.384241,51.928244,869.92
2017.12.07_15.41.24,-8.388447,51.935625,1,A,1,LTE,-100,-13,13,11,-,10874,201,D,-98,-18,-8.384241,51.928244,869.92
2017.12.07_15.41.25,-8.388447,51.935625,1,A,1,LTE,-100,-13,10,9,-79,10311,190,D,-98,-18,-8.384241,51.928244,869.92
2017.12.07_15.41.27,-8.388447,51.935625,1,A,1,LTE,-96,-10,10,9,-79,10960,201,D,-95,-11,-8.384241,51.928244,869.92
2017.12.07_15.41.28,-8.388447,51.935625,1,A,1,LTE,-96,-10,10,9,-79,6565,126,D,-95,-11,-8.384241,51.928244,869.92
2017.12.07_15.41.29,-8.388447,51.935625,1,A,1,LTE,-95,-12,5,9,-79,12973,238,D,-95,-11,-8.389391,51.928956,744.38
2017.12.07_15.41.30,-8.388447,51.935625,1,A,1,LTE,-95,-12,5,10,-81,15758,292,D,-100,-14,-8.389391,51.928956,744.38
2017.12.07_15.41.31,-8.388447,51.935625,1,A,1,LTE,-103,-9,3,8,-86,14136,262,D,-95,-11,-8.389391,51.928956,744.38
2017.12.07_15.41.32,-8.388447,51.935625,1,A,1,LTE,-103,-9,3,10,-88,8365,154,D,-95,-11,-8.389391,51.928956,744.38
