Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,NRxRSRP,NRxRSRQ,ServingCell_Lon,ServingCell_Lat,ServingCell_Distance
2018.01.17_10.42.40,-8.499885,51.89364,0,B,3,LTE,-98,-13,3,8,-78,18285,328,D,-100,-15,-8.499074,51.887362,700.3
2018.01.17_10.42.42,-8.499885,51.89364,0,B,3,LTE,-95,-12,7,8,-78,26148,574,D,-100,-17,-8.499074,51.887362,700.3
2018.01.17_10.42.43,-8.499885,51.89364,0,B,3,LTE,-95,-12,7,8,-78,26058,806,D,-100,-17,-8.499074,51.887362,700.3
2018.01.17_10.42.44,-8.499885,51.89364,0,B,3,LTE,-95,-13,9,8,-78,24302,455,D,-99,-16,-8.499074,51.887362,700.3
2018.01.17_10.42.45,-8.499885,51.89364,0,B,3,LTE,-95,-13,9,8,-78,24079,457,D,-99,-16,-8.499074,51.887362,700.3
2018.01.17_10.42.46,-8.499885,51.89364,0,B,3,LTE,-94,-13,8,8,-78,20902,399,D,-100,-15,-8.499074,51.887362,700.3
2018.01.17_10.42.47,-8.499885,51.89364,0,B,3,LTE,-94,-13,8,8,-78,14091,265,D,-100,-15,-8.499074,51.887362,700.3
2018.01.17_10.42.48,-8.499885,51.89364,0,B,3,LTE,-94,-13,6,8,-78,17581,330,D,-,-,-8.499074,51.887362,700.3
2018.01.17_10.42.49,-8.499885,51.89364,0,B,3,LTE,-94,-13,6,8,-78,21987,411,D,-,-,-8.499074,51.887362,700.3
2018.01.17_10.42.50,-8.499885,51.89364,0,B,3,LTE,-94,-12,9,8,-78,21003,398,D,-100,-16,-8.499074,51.887362,700.3
2018.01.17_10.42.51,-8.499885,51.89364,0,B,3,LTE,-94,-12,9,8,-78,23352,448,D,-100,-16,-8.499074,51.887362,700.3
2018.01.17_10.42.52,-8.499885,51.89364,0,B,3,LTE,-94,-13,9,8,-78,25588,499,D,-100,-15,-8.499074,51.887362,700.3
2018.01.17_10.42.54,-8.499885,51.89364,0,B,3,LTE,-94,-13,9,8,-78,17916,333,D,-100,-15,-8.499074,51.887362,700.3
2018.01.17_10.42.55,-8.499885,51.89364,0,B,3,LTE,-94,-13,11,8,-78,13510,251,D,-101,-18,-8.499074,51.887362,700.3
2018.01.17_10.42.56,-8.499885,51.89364,0,B,3,LTE,-94,-13,11,8,-78,16261,300,D,-101,-18,-8.499074,51.887362,700.3
2018.01.17_10.42.57,-8.499885,51.89364,0,B,3,LTE,-94,-13,10,8,-78,11497,224,D,-,-,-8.499074,51.887362,700.3
2018.01.17_10.42.58,-8.499885,51.89364,0,B,3,LTE,-94,-13,10,8,-78,7538,143,D,-,-,-8.499074,51.887362,700.3
2018.01.17_10.42.59,-8.499885,51.89364,0,B,3,LTE,-94,-14,8,8,-78,13096,247,D,-100,-17,-8.499074,51.887362,700.3
2018.01.17_10.43.00,-8.499885,51.89364,0,B,3,LTE,-94,-14,8,8,-78,15590,297,D,-100,-17,-8.499074,51.887362,700.3
2018.01.17_10.43.01,-8.499885,51.89364,0,B,3,LTE,-95,-13,7,8,-78,18106,354,D,-102,-19,-8.499074,51.887362,700.3
2018.01.17_10.43.03,-8.499885,51.89364,0,B,3,LTE,-95,-13,7,8,-78,19974,391,D,-102,-19,-8.499074,51.887362,700.3
2018.01.17_10.43.04,-8.499885,51.89364,0,B,3,LTE,-95,-13,10,8,-78,21059,407,D,-87,-12,-8.499074,51.887362,700.3
2018.01.17_10.43.05,-8.499885,51.89364,0,B,3,LTE,-95,-13,10,8,-78,24090,450,D,-87,-12,-8.499074,51.887362,700.3
2018.01.17_10.43.06,-8.499885,51.89364,0,B,3,LTE,-95,-13,10,8,-78,26886,506,D,-101,-20,-8.499074,51.887362,700.3
2018.01.17_10.43.07,-8.499885,51.89364,0,B,3,LTE,-95,-13,10,8,-78,25219,479,D,-101,-20,-8.499074,51.887362,700.3
2018.01.17_10.43.08,-8.499885,51.89364,0,B,3,LTE,-96,-12,10,8,-78,20746,392,D,-102,-19,-8.499074,51.887362,700.3
2018.01.17_10.43.09,-8.499885,51.89364,0,B,3,LTE,-96,-12,10,8,-78,19325,359,D,-102,-19,-8.499074,51.887362,700.3
2018.01.17_10.43.10,-8.499885,51.89364,0,B,3,LTE,-95,-13,6,8,-78,26450,495,D,-101,-17,-8.499074,51.887362,700.3
2018.01.17_10.43.11,-8.499885,51.89364,0,B,3,LTE,-95,-13,6,8,-78,26550,510,D,-101,-17,-8.499074,51.887362,700.3
2018.01.17_10.43.12,-8.499885,51.89364,0,B,3,LTE,-95,-13,10,8,-78,20567,389,D,-101,-15,-8.499074,51.887362,700.3
2018.01.17_10.43.14,-8.499885,51.89364,0,B,3,LTE,-95,-13,10,8,-78,16843,314,D,-101,-15,-8.499074,51.887362,700.3
2018.01.17_10.43.15,-8.499885,51.89364,0,B,3,LTE,-94,-12,8,8,-78,19381,374,D,-101,-14,-8.499074,51.887362,700.3
2018.01.17_10.43.16,-8.499885,51.89364,0,B,3,LTE,-94,-12,8,8,-78,25331,467,D,-101,-14,-8.499074,51.887362,700.3
2018.01.17_10.43.17,-8.499885,51.89364,0,B,3,LTE,-94,-11,9,8,-78,27344,534,D,-102,-19,-8.499074,51.887362,700.3
2018.01.17_10.43.18,-8.499885,51.89364,0,B,3,LTE,-94,-11,9,8,-78,21619,406,D,-102,-19,-8.499074,51.887362,700.3
2018.01.17_10.43.19,-8.499885,51.89364,0,B,3,LTE,-95,-13,10,8,-78,15400,297,D,-101,-17,-8.499074,51.887362,700.3
2018.01.17_10.43.20,-8.499885,51.89364,0,B,3,LTE,-95,-13,10,8,-78,17435,327,D,-101,-17,-8.499074,51.887362,700.3
2018.01.17_10.43.21,-8.499885,51.89364,0,B,3,LTE,-95,-13,5,8,-78,19113,358,D,-101,-17,-8.499074,51.887362,700.3
2018.01.17_10.43.23,-8.499885,51.89364,0,B,3,LTE,-95,-13,5,8,-78,24258,451,D,-101,-17,-8.499074,51.887362,700.3
2018.01.17_10.43.24,-8.499885,51.89364,0,B,3,LTE,-94,-12,9,8,-78,24302,461,D,-,-,-8.499074,51.887362,700.3
2018.01.17_10.43.25,-8.499885,51.89364,0,B,3,LTE,-94,-12,9,8,-78,21708,420,D,-,-,-8.499074,51.887362,700.3
2018.01.17_10.43.26,-8.499885,51.89364,0,B,3,LTE,-94,-12,11,8,-78,11631,223,D,-100,-19,-8.499074,51.887362,700.3
2018.01.17_10.43.27,-8.499885,51.89364,0,B,3,LTE,-94,-12,11,8,-78,15433,287,D,-100,-19,-8.499074,51.887362,700.3
2018.01.17_10.43.28,-8.499885,51.89364,0,B,3,LTE,-96,-13,11,8,-78,11172,215,D,-101,-17,-8.499074,51.887362,700.3
2018.01.17_10.43.29,-8.499885,51.89364,0,B,3,LTE,-96,-13,11,8,-78,13700,366,D,-101,-17,-8.499074,51.887362,700.3
2018.01.17_10.43.30,-8.499885,51.89364,0,B,3,LTE,-96,-13,10,5,-80,20522,398,D,-98,-15,-8.499074,51.887362,700.3
2018.01.17_10.43.31,-8.499885,51.89364,0,B,3,LTE,-96,-13,10,8,-79,21998,416,D,-98,-15,-8.499074,51.887362,700.3
2018.01.17_10.43.33,-8.499885,51.89364,0,B,3,LTE,-96,-12,5,10,-74,30084,579,D,-98,-20,-8.499074,51.887362,700.3
2018.01.17_10.43.34,-8.499885,51.89364,0,B,3,LTE,-96,-12,5,11,-70,41034,998,D,-98,-20,-8.499074,51.887362,700.3
2018.01.17_10.43.35,-8.499885,51.89364,0,B,3,LTE,-87,-11,13,9,-75,30867,638,D,-,-,-8.499074,51.887362,700.3
2018.01.17_10.43.36,-8.499885,51.89364,0,B,3,LTE,-87,-11,13,10,-73,32500,627,D,-,-,-8.499074,51.887362,700.3
2018.01.17_10.43.37,-8.499885,51.89364,0,B,3,LTE,-90,-12,10,10,-75,32098,619,D,-91,-16,-8.499074,51.887362,700.3
2018.01.17_10.43.38,-8.499885,51.89364,0,B,3,LTE,-90,-12,10,10,-75,42208,817,D,-91,-16,-8.499074,51.887362,700.3
2018.01.17_10.43.39,-8.499885,51.89364,0,B,3,LTE,-92,-12,12,10,-75,40340,774,D,-,-,-8.499074,51.887362,700.3
2018.01.17_10.43.40,-8.499885,51.89364,0,B,3,LTE,-92,-12,12,9,-77,35665,693,D,-,-,-8.499074,51.887362,700.3
2018.01.17_10.43.41,-8.499885,51.89364,0,B,3,LTE,-94,-12,14,9,-77,26651,508,D,-,-,-8.499074,51.887362,700.3
2018.01.17_10.43.42,-8.499885,51.89364,0,B,3,LTE,-94,-12,14,9,-77,36549,696,D,-,-,-8.499074,51.887362,700.3
2018.01.17_10.43.44,-8.499885,51.89364,0,B,3,LTE,-93,-11,10,11,-75,40228,782,D,-,-,-8.499074,51.887362,700.3
2018.01.17_10.43.45,-8.499885,51.89364,0,B,3,LTE,-93,-11,10,11,-75,27233,773,D,-,-,-8.499074,51.887362,700.3
2018.01.17_10.43.46,-8.499885,51.89364,0,B,3,LTE,-92,-12,14,11,-75,18912,428,D,-,-,-8.499074,51.887362,700.3
