Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,NRxRSRP,NRxRSRQ,ServingCell_Lon,ServingCell_Lat,ServingCell_Distance
2018.02.02_12.04.45,-9.222755,52.084551,0,A,2,LTE,-92,-7,21.0,15,-73,13096,272,D,-,-,-9.219639,52.08326,256.79000000000002
2018.02.02_12.04.46,-9.222755,52.084551,0,A,2,LTE,-90,-8,21.0,15,-73,13845,257,D,-100.0,-12.0,-9.219639,52.08326,256.79000000000002
2018.02.02_12.04.47,-9.222755,52.084551,0,A,2,LTE,-90,-8,21.0,12,-75,13308,274,D,-100.0,-12.0,-9.219639,52.08326,256.79000000000002
2018.02.02_12.04.48,-9.222755,52.084551,0,A,2,LTE,-91,-6,22.0,12,-75,13174,243,D,-,-,-9.219639,52.08326,256.79000000000002
2018.02.02_12.04.49,-9.222755,52.084551,0,A,2,LTE,-91,-6,22.0,13,-77,13409,274,D,-,-,-9.219639,52.08326,256.79000000000002
2018.02.02_12.04.49,-9.217802,52.085402,23,A,2,LTE,-91,-6,22.0,13,-77,13409,274,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.04.50,-9.217802,52.085402,23,A,2,LTE,-94,-8,23.0,12,-75,10647,220,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.04.51,-9.217802,52.085402,23,A,2,LTE,-94,-8,23.0,15,-73,9138,183,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.04.52,-9.217802,52.085402,23,A,2,LTE,-90,-7,21.0,12,-67,8757,186,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.04.53,-9.217802,52.085402,23,A,2,LTE,-90,-7,21.0,12,-78,5323,120,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.04.54,-9.217802,52.085402,23,A,2,LTE,-95,-9,22.0,12,-71,6475,118,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.04.55,-9.217802,52.085402,23,A,2,LTE,-95,-9,22.0,12,-73,6352,136,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.04.56,-9.217802,52.085402,23,A,2,LTE,-97,-8,18.0,11,-80,6844,145,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.04.57,-9.217802,52.085402,23,A,2,LTE,-97,-8,18.0,11,-80,6307,116,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.04.59,-9.217802,52.085402,23,A,2,LTE,-93,-8,18.0,11,-73,5558,128,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.00,-9.217802,52.085402,23,A,2,LTE,-93,-8,16.0,12,-71,5211,97,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.01,-9.217802,52.085402,23,A,2,LTE,-88,-8,20.0,10,-74,6553,121,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.02,-9.217802,52.085402,23,A,2,LTE,-88,-8,20.0,10,-74,7661,141,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.03,-9.217802,52.085402,23,A,2,LTE,-92,-7,18.0,12,-77,8656,160,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.04,-9.217802,52.085402,23,A,2,LTE,-92,-7,18.0,12,-77,9237,168,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.05,-9.217802,52.085402,23,A,2,LTE,-95,-8,19.0,12,-77,11430,211,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.06,-9.217802,52.085402,23,A,2,LTE,-95,-8,19.0,12,-77,15993,287,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.07,-9.217802,52.085402,23,A,2,LTE,-95,-7,18.0,12,-77,24828,458,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.08,-9.217802,52.085402,23,A,2,LTE,-95,-7,18.0,12,-77,32053,687,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.09,-9.217802,52.085402,23,A,2,LTE,-95,-9,18.0,12,-77,23139,568,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.11,-9.217802,52.085402,23,A,2,LTE,-95,-9,15.0,12,-81,16731,307,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.12,-9.217802,52.085402,23,A,2,LTE,-98,-7,15.0,12,-,20925,391,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.13,-9.217802,52.085402,23,A,2,LTE,-98,-7,15.0,12,-,22144,410,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.14,-9.217802,52.085402,23,A,2,LTE,-96,-9,18.0,12,-,22244,418,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.15,-9.217802,52.085402,23,A,2,LTE,-96,-9,18.0,12,-77,19639,406,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.16,-9.217802,52.085402,23,A,2,LTE,-94,-7,19.0,12,-77,21148,398,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.17,-9.217802,52.085402,23,A,2,LTE,-94,-7,19.0,12,-77,22233,417,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.18,-9.217802,52.085402,23,A,2,LTE,-94,-11,20.0,12,-77,19784,412,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.19,-9.217802,52.085402,23,A,2,LTE,-94,-11,20.0,12,-79,19102,355,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.20,-9.217802,52.085402,23,A,2,LTE,-96,-7,19.0,12,-79,19661,413,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.21,-9.217802,52.085402,23,A,2,LTE,-96,-7,19.0,12,-,17827,331,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.23,-9.217802,52.085402,23,A,2,LTE,-95,-10,17.0,12,-,19762,367,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.24,-9.217802,52.085402,23,A,2,LTE,-95,-10,17.0,12,-79,14785,307,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.25,-9.217802,52.085402,23,A,2,LTE,-97,-7,18.0,12,-79,16910,313,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.26,-9.217802,52.085402,23,A,2,LTE,-97,-7,18.0,12,-,18509,347,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.27,-9.217802,52.085402,23,A,2,LTE,-96,-6,19.0,12,-,15747,335,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.28,-9.217802,52.085402,23,A,2,LTE,-96,-6,19.0,12,-,15679,283,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.29,-9.217802,52.085402,23,A,2,LTE,-95,-6,18.0,12,-,18229,339,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.30,-9.217802,52.085402,23,A,2,LTE,-95,-6,18.0,12,-,20187,371,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.31,-9.217802,52.085402,23,A,2,LTE,-96,-6,18.0,12,-,19885,369,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.32,-9.217802,52.085402,23,A,2,LTE,-96,-6,18.0,12,-,20802,385,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.33,-9.217802,52.085402,23,A,2,LTE,-96,-7,17.0,12,-,20545,383,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.34,-9.217802,52.085402,23,A,2,LTE,-96,-7,17.0,12,-,24761,464,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.36,-9.217802,52.085402,23,A,2,LTE,-96,-11,17.0,12,-,28776,537,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.37,-9.217802,52.085402,23,A,2,LTE,-96,-11,17.0,12,-,30375,618,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.38,-9.217802,52.085402,23,A,2,LTE,-95,-9,17.0,12,-,24470,557,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.39,-9.217802,52.085402,23,A,2,LTE,-95,-9,17.0,12,-,16552,360,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.40,-9.217802,52.085402,23,A,2,LTE,-96,-8,17.0,12,-81,7649,170,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.41,-9.217802,52.085402,23,A,2,LTE,-96,-8,17.0,12,-81,8801,162,D,-,-,-9.219639,52.08326,269.23000000000002
2018.02.02_12.05.42,-9.217802,52.085402,23,A,2,LTE,-99,-11,16.0,11,-84,10289,193,D,-,-,-9.219639,52.08326,269.23000000000002
