Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,NRxRSRP,NRxRSRQ,ServingCell_Lon,ServingCell_Lat,ServingCell_Distance
2018.01.17_15.56.48,-8.463166,51.896183,0,B,52021,HSPA+,-83,-2,-,-,-,2949,64,D,0,-51,-,-,-
2018.01.17_15.56.49,-8.463166,51.896183,0,B,52021,HSPA+,-83,-2,-,-,-,10982,158,D,-51,-24,-,-,-
2018.01.17_15.56.50,-8.463166,51.896183,0,B,52021,HSPA+,-83,-2,-,-,-,11687,185,D,-51,-24,-,-,-
2018.01.17_15.56.51,-8.463166,51.896183,0,B,52021,HSPA+,-81,-2,-,-,-,9327,155,D,-51,-24,-,-,-
2018.01.17_15.56.52,-8.463166,51.896183,0,B,52021,HSPA+,-81,-2,-,-,-,8611,147,D,-51,-24,-,-,-
2018.01.17_15.56.54,-8.463166,51.896183,0,B,52021,HSPA+,-81,-2,-,-,-,13364,206,D,-51,-24,-,-,-
2018.01.17_15.56.55,-8.463166,51.896183,0,B,52021,HSPA+,-81,-2,-,-,-,13868,215,D,-51,-24,-,-,-
2018.01.17_15.56.56,-8.463166,51.896183,0,B,52021,HSPA+,-81,-2,-,-,-,12559,207,D,-51,-24,-,-,-
2018.01.17_15.56.57,-8.463166,51.896183,0,B,52021,HSPA+,-81,-2,-,-,-,13320,208,D,-51,-24,-,-,-
2018.01.17_15.56.58,-8.463166,51.896183,0,B,52021,HSPA+,-83,-2,-,-,-,9014,143,D,-51,-24,-,-,-
2018.01.17_15.56.59,-8.463166,51.896183,0,B,52021,HSPA+,-83,-2,-,-,-,14595,197,D,-51,-24,-,-,-
2018.01.17_15.57.00,-8.463166,51.896183,0,B,52021,HSPA+,-81,-2,-,-,-,14013,220,D,-51,-24,-,-,-
2018.01.17_15.57.01,-8.463166,51.896183,0,B,52021,HSPA+,-81,-2,-,-,-,15702,246,D,-51,-24,-,-,-
2018.01.17_15.57.02,-8.463166,51.896183,0,B,52021,HSPA+,-81,-2,-,-,-,16339,243,D,-51,-24,-,-,-
2018.01.17_15.57.03,-8.463166,51.896183,0,B,52021,HSPA+,-81,-2,-,-,-,16071,257,D,-51,-24,-,-,-
2018.01.17_15.57.05,-8.463166,51.896183,0,B,52021,HSPA+,-81,-2,-,-,-,14853,243,D,-51,-24,-,-,-
2018.01.17_15.57.06,-8.463166,51.896183,0,B,52021,HSPA+,-81,-2,-,-,-,13712,208,D,-51,-24,-,-,-
2018.01.17_15.57.07,-8.463166,51.896183,0,B,52021,HSPA+,-81,-2,-,-,-,10535,169,D,-51,-24,-,-,-
2018.01.17_15.57.08,-8.463166,51.896183,0,B,52021,HSPA+,-81,-2,-,-,-,11631,178,D,-51,-24,-,-,-
2018.01.17_15.57.09,-8.463166,51.896183,0,B,52021,HSPA+,-79,-2,-,-,-,10390,169,D,-51,-24,-,-,-
2018.01.17_15.57.10,-8.463166,51.896183,0,B,52021,HSPA+,-79,-2,-,-,-,10760,166,D,-51,-24,-,-,-
2018.01.17_15.57.11,-8.463166,51.896183,0,B,52021,HSPA+,-83,-2,-,-,-,11922,182,D,-51,-24,-,-,-
2018.01.17_15.57.12,-8.463166,51.896183,0,B,52021,HSPA+,-83,-2,-,-,-,10199,171,D,-51,-24,-,-,-
2018.01.17_15.57.13,-8.463166,51.896183,0,B,52021,HSPA+,-83,-2,-,-,-,10133,158,D,-51,-24,-,-,-
2018.01.17_15.57.15,-8.463166,51.896183,0,B,52021,HSPA+,-83,-2,-,-,-,12135,200,D,-51,-24,-,-,-
2018.01.17_15.57.16,-8.463166,51.896183,0,B,52021,HSPA+,-81,-2,-,-,-,11978,200,D,-51,-24,-,-,-
2018.01.17_15.57.17,-8.463166,51.896183,0,B,52021,HSPA+,-81,-2,-,-,-,9428,156,D,-51,-24,-,-,-
